リンク,ジャンル,商品説明,発売元,発売日,価格
https://www.suruga-ya.jp/product/detail/109101748,ニンテンドースイッチハード,Nintendo Switch Proコントローラー 大乱闘スマッシュブラザーズ SPECIALエディション(状態：本体状態難),任天堂,2018/11/16,"￥6,730"
https://www.suruga-ya.jp/product/detail/109102011?tenpo_cd=400455,ニンテンドースイッチハード,Nintendo Switch Proコントローラー 大乱闘スマッシュブラザーズ SPECIALエディション(状態：USBケーブル欠品),任天堂,2018/11/16,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/106010657,WiiUハード,amiiboジオラマキット 大乱闘スマッシュブラザーズ,任天堂,2016/04/28,"￥1,580"
https://www.suruga-ya.jp/product/detail/106900064,WiiUソフト,ランクB)大乱闘スマッシュブラザーズ[GCコントローラ接続タップ同梱],任天堂,2014/12/06,"￥1,500"
https://www.suruga-ya.jp/product/detail/147000100,ニンテンドウ64ソフト,ニンテンドウオールスター!大乱闘スマッシュブラザーズ,任天堂,1999/01/21,"￥3,680"
https://www.suruga-ya.jp/product/detail/247000100,ニンテンドウ64ソフト,ニンテンドウオールスター!大乱闘スマッシュブラザーズ (箱説なし),任天堂,1999/01/21,￥580
https://www.suruga-ya.jp/product/detail/102900008?tenpo_cd=400476,Wiiソフト,ランクB)大乱闘スマッシュブラザーズX,任天堂,2008/01/31,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/other/147000420,ニンテンドウ64ソフト,ニンテンドウオールスター!大乱闘スマッシュブラザーズ (状態：箱・説明書状態難),任天堂,1999/01/21,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/147900001,ニンテンドウ64ソフト,ランクB)ニンテンドウオールスター!大乱闘スマッシュブラザーズ,任天堂,1999/01/21,"￥1,180"
https://www.suruga-ya.jp/product/other/147000381,ニンテンドウ64ソフト,ニンテンドウオールスター!大乱闘スマッシュブラザーズ(状態：外箱状態難有り),任天堂,1999/01/21,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/147000385,ニンテンドウ64ソフト,ニンテンドウオールスター!大乱闘スマッシュブラザーズ(状態：説明書状態難有り),任天堂,1999/01/21,"￥3,290"
https://www.suruga-ya.jp/product/detail/147970001,ニンテンドウ64ソフト,[外箱のみ]ニンテンドウオールスター!大乱闘スマッシュブラザーズ,任天堂,発売日不明,￥980
https://www.suruga-ya.jp/product/detail/147970000,ニンテンドウ64ソフト,[説明書のみ]ニンテンドウオールスター!大乱闘スマッシュブラザーズ,任天堂,発売日不明,￥440
https://www.suruga-ya.jp/product/detail/157900002,NGCソフト,ランクB)大乱闘スマッシュブラザーズDX,任天堂,2001/11/21,￥558
https://www.suruga-ya.jp/product/detail/157970455,NGCソフト,[紙スリーブのみ]大乱闘スマッシュブラザーズDX,任天堂,発売日不明,￥560
https://www.suruga-ya.jp/product/detail/157970146,NGCソフト,[説明書のみ]大乱闘スマッシュブラザーズDX,任天堂,発売日不明,￥260
https://www.suruga-ya.jp/product/detail/109103919,ニンテンドースイッチハード,amiibo ダブルセット[ホムラ/ヒカリ](大乱闘スマッシュブラザーズシリーズ),任天堂,2023/07/21,"￥3,801"
https://www.suruga-ya.jp/product/detail/106011328,WiiUハード,amiibo スティーブ (大乱闘スマッシュブラザーズシリーズ),任天堂,2022/09/09,"￥1,980"
https://www.suruga-ya.jp/product/detail/106011329,WiiUハード,amiibo アレックス (大乱闘スマッシュブラザーズシリーズ),任天堂,2022/09/09,"￥1,388"
https://www.suruga-ya.jp/product/detail/109103917,ニンテンドースイッチハード,amiibo セフィロス(大乱闘スマッシュブラザーズシリーズ),任天堂,2023/01/13,"￥2,978"
https://www.suruga-ya.jp/product/detail/106011330,WiiUハード,amiibo ダブルセット [スティーブ/アレックス] (大乱闘スマッシュブラザーズシリーズ),任天堂,2022/09/09,"￥2,180"
https://www.suruga-ya.jp/product/detail/106011313,WiiUハード,amiibo ミェンミェン(大乱闘スマッシュブラザーズシリーズ),任天堂,2022/04/29,"￥2,610"
https://www.suruga-ya.jp/product/detail/106011252,amiibo,amiibo ベレト(大乱闘スマッシュブラザーズシリーズ),任天堂,2021/03/26,"￥1,900"
